Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2025-100001,2025-02-01,2025-02-03,First Class,AR-10411,Thomas Lewis,Consumer,United States,Boston,Massachusetts,02108,East,TEC-MA-10001067,Technology,Machines,Smead Binding Machine v8.3,12370.85,5,0.0,1484.5
2,CA-2025-100002,2025-02-19,2025-02-22,Second Class,AR-10757,Karen Harris,Consumer,United States,Dallas,Texas,75201,Central,TEC-CO-10001090,Technology,Copiers,HP High-Volume Color Copier v5.5,1574.01,1,0.8,-3541.52
3,CA-2025-100002,2025-02-19,2025-02-22,Second Class,AR-10757,Karen Harris,Consumer,United States,Dallas,Texas,75201,Central,OFF-FA-10001215,Office Supplies,Fasteners,Apple Paper Clips v6.2,32.17,3,0.4,-2.68
4,CA-2024-100003,2024-09-06,2024-09-12,Standard Class,MD-10582,Charles Lopez,Corporate,United States,Austin,Texas,78701,Central,TEC-CO-10001083,Technology,Copiers,Xerox High-Volume Color Copier v12.7,1922.94,1,0.6,-1201.83
5,CA-2025-100004,2025-09-02,2025-09-02,Same Day,TB-10099,Thomas Hernandez,Consumer,United States,Detroit,Michigan,48201,Central,OFF-BI-10001133,Office Supplies,Binders,GBC Clear Cove Binder v3.8,50.36,1,0.0,22.66
6,CA-2025-100004,2025-09-02,2025-09-02,Same Day,TB-10099,Thomas Hernandez,Consumer,United States,Detroit,Michigan,48201,Central,OFF-AP-10001184,Office Supplies,Appliances,Bush Microwave Oven v11.8,561.09,3,0.0,123.44
7,CA-2025-100005,2025-04-23,2025-04-27,Second Class,ZC-10696,Linda Lee,Consumer,United States,Portland,Oregon,97201,West,FUR-FU-10001332,Furniture,Furnishings,Fellowes Desktop Organizer v1.1,96.68,1,0.2,0.0
8,CA-2024-100006,2024-08-05,2024-08-05,Same Day,CH-10690,Elizabeth Lee,Consumer,United States,Seattle,Washington,98101,West,OFF-EN-10001228,Office Supplies,Envelopes,Sauder Bubble Mailers v4.4,20.62,1,0.0,7.22
9,CA-2024-100006,2024-08-05,2024-08-05,Same Day,CH-10690,Elizabeth Lee,Consumer,United States,Seattle,Washington,98101,West,TEC-AC-10001040,Technology,Accessories,Canon USB-C Hub v5.3,371.62,2,0.0,74.32
10,CA-2023-100007,2023-12-10,2023-12-10,Same Day,HL-10346,Mark Lewis,Corporate,United States,New York,New York,10001,East,FUR-CH-10001292,Furniture,Chairs,Xerox Stool v4.2,2003.43,3,0.0,300.51
11,CA-2023-100007,2023-12-10,2023-12-10,Same Day,HL-10346,Mark Lewis,Corporate,United States,New York,New York,10001,East,OFF-FA-10001207,Office Supplies,Fasteners,Xerox Binder Clips v6.1,5.52,1,0.0,1.93
12,CA-2024-100008,2024-10-10,2024-10-12,First Class,KA-10728,Charles Anderson,Home Office,United States,Minneapolis,Minnesota,55401,Central,OFF-EN-10001227,Office Supplies,Envelopes,Hon Self-Seal Envelopes v8.0,18.17,2,0.15,4.27
13,CA-2025-100009,2025-12-02,2025-12-04,Second Class,PL-10424,Michael Perez,Corporate,United States,Buffalo,New York,14201,East,TEC-MA-10001064,Technology,Machines,Sauder Heavy Duty Shredder v2.4,877.51,2,0.15,-30.97
14,CA-2025-100009,2025-12-02,2025-12-04,Second Class,PL-10424,Michael Perez,Corporate,United States,Buffalo,New York,14201,East,FUR-TA-10001372,Furniture,Tables,Dell Computer Desk v2.8,889.68,2,0.0,17.79
15,CA-2025-100009,2025-12-02,2025-12-04,Second Class,PL-10424,Michael Perez,Corporate,United States,Buffalo,New York,14201,East,OFF-BI-10001120,Office Supplies,Binders,Canon Ring Binder v3.1,89.26,1,0.0,40.17
16,CA-2025-100010,2025-12-09,2025-12-17,Standard Class,MD-10086,William Martinez,Consumer,United States,Charlotte,North Carolina,28202,South,FUR-FU-10001335,Furniture,Furnishings,Sauder Wall Clock v9.9,375.96,4,0.0,75.19
17,CA-2024-100011,2024-04-14,2024-04-14,Same Day,TB-10291,Thomas Lewis,Home Office,United States,Houston,Texas,77002,Central,TEC-MA-10001067,Technology,Machines,Smead Binding Machine v8.3,7422.51,3,0.0,890.7
18,CA-2024-100011,2024-04-14,2024-04-14,Same Day,TB-10291,Thomas Lewis,Home Office,United States,Houston,Texas,77002,Central,OFF-SU-10001269,Office Supplies,Supplies,Samsung High-Quality Scissors v11.7,79.81,2,0.6,-99.76
19,CA-2023-100012,2023-12-29,2023-12-29,Same Day,MD-10468,Anthony Harris,Home Office,United States,Indianapolis,Indiana,46201,Central,FUR-FU-10001327,Furniture,Furnishings,Canon Wastebasket v6.3,47.88,1,0.15,2.82
20,CA-2025-100013,2025-09-13,2025-09-13,Same Day,KA-10092,Nancy Ramirez,Consumer,United States,San Diego,California,92101,West,OFF-FA-10001211,Office Supplies,Fasteners,HP Push Pins v8.6,19.41,1,0.0,6.79
21,CA-2023-100014,2023-10-07,2023-10-13,Standard Class,HL-10481,Sandra Sanchez,Home Office,United States,San Francisco,California,94102,West,OFF-LA-10001244,Office Supplies,Labels,HP Color-Coding Dots v5.5,4.94,2,0.0,1.73
22,CA-2023-100014,2023-10-07,2023-10-13,Standard Class,HL-10481,Sandra Sanchez,Home Office,United States,San Francisco,California,94102,West,OFF-AR-10001153,Office Supplies,Art,Hon Sketchbook v5.9,79.74,2,0.0,23.92
23,CA-2023-100014,2023-10-07,2023-10-13,Standard Class,HL-10481,Sandra Sanchez,Home Office,United States,San Francisco,California,94102,West,TEC-PH-10001004,Technology,Phones,Wilson Jones Smartphone v12.2,134.1,1,0.15,15.77
24,CA-2023-100014,2023-10-07,2023-10-13,Standard Class,HL-10481,Sandra Sanchez,Home Office,United States,San Francisco,California,94102,West,OFF-EN-10001220,Office Supplies,Envelopes,Apple Catalog Envelopes v7.9,20.14,1,0.0,7.05
25,CA-2024-100015,2024-03-27,2024-03-31,Second Class,JS-10433,Robert White,Home Office,United States,Denver,Colorado,80202,West,FUR-CH-10001313,Furniture,Chairs-Ergonomic,HP Ergonomic Lumbar Support Chair v3.2,1057.32,2,0.0,190.32
26,CA-2024-100015,2024-03-27,2024-03-31,Second Class,JS-10433,Robert White,Home Office,United States,Denver,Colorado,80202,West,FUR-BO-10001355,Furniture,Bookcases,Bush Corner Bookshelf v7.0,570.46,2,0.5,-513.41
27,CA-2025-100016,2025-04-25,2025-04-27,Second Class,HL-10071,Margaret White,Consumer,United States,Columbus,Ohio,43215,East,FUR-FU-10001326,Furniture,Furnishings,Dell Desktop Organizer v8.7,105.38,1,0.2,0.0
28,CA-2025-100017,2025-10-04,2025-10-06,Second Class,KA-10020,Joseph Rodriguez,Corporate,United States,Denver,Colorado,80202,West,TEC-PH-10001011,Technology,Phones,Hon Wireless Handset v7.1,420.38,1,0.1,70.06
29,CA-2025-100017,2025-10-04,2025-10-06,Second Class,KA-10020,Joseph Rodriguez,Corporate,United States,Denver,Colorado,80202,West,TEC-CO-10001095,Technology,Copiers,BIC High-Volume Color Copier v10.4,17219.32,2,0.0,6026.76
30,CA-2025-100017,2025-10-04,2025-10-06,Second Class,KA-10020,Joseph Rodriguez,Corporate,United States,Denver,Colorado,80202,West,TEC-MA-10001052,Technology,Machines,Wilson Jones Heavy Duty Shredder v11.2,2259.61,1,0.0,271.15
31,CA-2025-100017,2025-10-04,2025-10-06,Second Class,KA-10020,Joseph Rodriguez,Corporate,United States,Denver,Colorado,80202,West,OFF-AR-10001144,Office Supplies,Art,Apple Watercolor Set v11.1,13.74,1,0.0,4.12
32,CA-2023-100018,2023-03-06,2023-03-08,Second Class,CH-10769,Jessica Johnson,Corporate,United States,Tampa,Florida,33602,South,OFF-FA-10001200,Office Supplies,Fasteners,Hon Push Pins v10.1,7.39,1,0.0,2.59
33,CA-2023-100019,2023-01-26,2023-01-29,Second Class,PL-10787,Matthew Martin,Home Office,United States,Chicago,Illinois,60601,Central,OFF-EN-10001226,Office Supplies,Envelopes,Fellowes Security Tint Envelopes v3.5,62.44,2,0.0,21.85
34,CA-2023-100019,2023-01-26,2023-01-29,Second Class,PL-10787,Matthew Martin,Home Office,United States,Chicago,Illinois,60601,Central,OFF-BI-10001126,Office Supplies,Binders,Xerox Ring Binder v9.0,59.22,1,0.6,-22.21
35,CA-2025-100020,2025-12-03,2025-12-03,Same Day,MD-10214,Lisa Taylor,Home Office,United States,Miami,Florida,33101,South,OFF-ST-10001159,Office Supplies,Storage,Bush Stacking Drawers v1.2,1155.96,4,0.0,208.07
